penalty_id,match_id,match_date,penalty_team,opponent_team,penalty_context,shootout_condition,shooter,shooter_foot,goalkeeper,shot_horizontal,shot_vertical,keeper_direction,penalty_type,outcome,video_source,competition
48982-25,2026-03-08_BC-RANGERS_LEE-MAN,8 MAR 2026,BC Rangers,Lee Man,SHOOTOUT,NORMAL,LAU Chi Lok,RIGHT,LEUNG Hing Kit,RIGHT,HIGH,RIGHT,NORMAL,GOAL,https://www.hkfa.com/en/competitions/result/48982/detail,FA Cup
48982-26,2026-03-08_BC-RANGERS_LEE-MAN,8 MAR 2026,BC Rangers,Lee Man,SHOOTOUT,NORMAL,CORTES ARMERO Mauricio,LEFT,LEUNG Hing Kit,CENTRE,LOW,LEFT,HESITATION,GOAL,https://www.hkfa.com/en/competitions/result/48982/detail,FA Cup
48982-27,2026-03-08_BC-RANGERS_LEE-MAN,8 MAR 2026,BC Rangers,Lee Man,SHOOTOUT,NORMAL,PANIGAZZI Matias Ignacio,LEFT,LEUNG Hing Kit,CENTRE,HIGH,LEFT,HESITATION,GOAL,https://www.hkfa.com/en/competitions/result/48982/detail,FA Cup
49641-1,2026-05-23_BC-RANGERS_TAI-PO,23 MAY 2026,Tai Po,BC Rangers,IN_MATCH,,TORRES SARTORI Igor,RIGHT,YIP Ka Yu,LEFT,LOW,RIGHT,NORMAL,GOAL,https://www.hkfa.com/en/competitions/result/49641/detail,FA Cup
49643-3,2026-05-24_EASTERN-DISTRICT_GOLIK-NORTH-DISTRICT,24 MAY 2026,Golik North District,Eastern District,IN_MATCH,,SALUSTIANO DE JESUS SILVA Samuel,RIGHT,DA SILVA ARGOLO Paulo Cesar,RIGHT,LOW,LEFT,NORMAL,GOAL,https://www.hkfa.com/en/competitions/result/49643/detail,FA Cup
49643-17,2026-05-24_EASTERN-DISTRICT_GOLIK-NORTH-DISTRICT,24 MAY 2026,Golik North District,Eastern District,SHOOTOUT,NORMAL,SALUSTIANO DE JESUS SILVA Samuel,RIGHT,DA SILVA ARGOLO Paulo Cesar,CENTRE,LOW,RIGHT,NORMAL,GOAL,https://www.hkfa.com/en/competitions/result/49643/detail,FA Cup
49643-18,2026-05-24_EASTERN-DISTRICT_GOLIK-NORTH-DISTRICT,24 MAY 2026,Eastern District,Golik North District,SHOOTOUT,NORMAL,TAKATORI Seito,RIGHT,LI Hon Ho,LEFT,LOW,CENTRE,NORMAL,GOAL,https://www.hkfa.com/en/competitions/result/49643/detail,FA Cup
49643-19,2026-05-24_EASTERN-DISTRICT_GOLIK-NORTH-DISTRICT,24 MAY 2026,Eastern District,Golik North District,SHOOTOUT,NORMAL,DE OLIVEIRA BIANCONI Bruno,RIGHT,LI Hon Ho,LEFT,LOW,CENTRE,NORMAL,GOAL,https://www.hkfa.com/en/competitions/result/49643/detail,FA Cup
49643-20,2026-05-24_EASTERN-DISTRICT_GOLIK-NORTH-DISTRICT,24 MAY 2026,Eastern District,Golik North District,SHOOTOUT,NORMAL,YUEL Kuach,RIGHT,LI Hon Ho,LEFT,HIGH,LEFT,NORMAL,GOAL,https://www.hkfa.com/en/competitions/result/49643/detail,FA Cup
49643-24,2026-05-24_EASTERN-DISTRICT_GOLIK-NORTH-DISTRICT,24 MAY 2026,Golik North District,Eastern District,SHOOTOUT,NORMAL,ARBOLEDA QUIÑONEZ Yilber,RIGHT,DA SILVA ARGOLO Paulo Cesar,LEFT,LOW,LEFT,HESITATION,GOAL,https://www.hkfa.com/en/competitions/result/49643/detail,FA Cup
49883-2,2026-05-30_EASTERN-DISTRICT_TAI-PO,30 MAY 2026,Tai Po,Eastern District,IN_MATCH,,GERALDINO DOS SANTOS JUNIOR Marcos,RIGHT,DA SILVA ARGOLO Paulo Cesar,CENTRE,HIGH,RIGHT,NORMAL,MISSED,https://www.hkfa.com/en/competitions/result/49883/detail,FA Cup
db3367f5-a206-4676-b927-a5cf53527300,2026-03-07_EASTERN_EASTERN-DISTRICT,7 MAR 2026,Eastern,Eastern District,SHOOTOUT,NORMAL,BLEDA RODRIGUEZ Manuel,RIGHT,DA SILVA ARGOLO Paulo Cesar,RIGHT,HIGH,RIGHT,HESITATION,SAVED,https://www.hkfa.com/en/competitions/result/46847/detail,FA Cup
7f11847e-8966-421b-a1bd-d7223b19d24b,2026-03-08_BC-RANGERS_LEE-MAN,8 MAR 2026,Lee Man,BC Rangers,SHOOTOUT,NORMAL,CHEBEL KLEIN NUNES Luis Eduardo,RIGHT,YIP Ka Yu,LEFT,LOW,LEFT,NORMAL,SAVED,https://www.hkfa.com/en/competitions/result/48982/detail,FA Cup
63606d26-e982-4c54-8711-9e337a1b46a7,2026-03-08_BC-RANGERS_LEE-MAN,8 MAR 2026,Lee Man,BC Rangers,SHOOTOUT,NORMAL,SEVERO BURKATT Mikael,RIGHT,YIP Ka Yu,RIGHT,LOW,RIGHT,NORMAL,SAVED,https://www.hkfa.com/en/competitions/result/48982/detail,FA Cup
e81c5d57-b0ae-4e1a-9a23-1b1ad02a1993,2026-03-08_BC-RANGERS_LEE-MAN,8 MAR 2026,Lee Man,BC Rangers,SHOOTOUT,MUST_SCORE,LAU Ka Kiu,RIGHT,YIP Ka Yu,LEFT,LOW,LEFT,NORMAL,MISSED,https://www.hkfa.com/en/competitions/result/48982/detail,FA Cup
3896e997-19db-4a1d-b046-d10a88d9de2e,2026-05-24_EASTERN-DISTRICT_GOLIK-NORTH-DISTRICT,24 MAY 2026,Golik North District,Eastern District,SHOOTOUT,NORMAL,NA Yunho,RIGHT,LI Hon Ho,LEFT,LOW,LEFT,NORMAL,GOAL,https://www.hkfa.com/en/competitions/result/49643/detail,FA Cup
530a92da-27e0-432d-b90d-da307f49057c,2026-05-24_EASTERN-DISTRICT_GOLIK-NORTH-DISTRICT,24 MAY 2026,Golik North District,Eastern District,SHOOTOUT,NORMAL,CONSTANCIO PEREIRA Weverton Guilherme,RIGHT,DA SILVA ARGOLO Paulo Cesar,LEFT,LOW,LEFT,NORMAL,SAVED,https://www.hkfa.com/en/competitions/result/49643/detail,FA Cup
